q1,q2,q3,xe,ye,thetae
0.11,-0.6,-1,13.7,-9.5,-85.37
0.04,-2.74,1,-0.24,-9.65,-97.4
2.66,-0.22,-1,-10.64,14.7,82.51
0.25,-1.12,1,18.24,-2.71,7.45
1.66,-0.22,0,1.2,20.85,82.51
2.15,-2.65,0,8.45,-0.85,-28.65
1.09,-0.7,0,16.19,11.53,22.35
1.23,-1.11,-1,13.75,2.04,-50.42
1.61,-2.51,1,11.04,2.21,5.73
0.95,-0.97,0,18.07,5.41,-1.15
2.72,-1.88,-2,1.08,1.66,-66.46
0.28,-3.03,-1,-5.49,3.26,-214.86
1.33,-1.75,0,14.45,1.09,-24.06
0.64,-2.45,1,8.78,-7.69,-46.41
1.94,-1.26,-2,4.65,4.15,-75.63
1.4,-1.2,-1,12.93,3.27,-45.84
2.11,-0.06,1,-13.79,12.86,174.75
1.55,-2.93,-1,-3.59,-4.71,-136.36
1.83,-1.49,-1,10.34,4.81,-37.82
1.07,-0.06,0,10.81,18.0,57.87
0.69,-2.52,0,1.81,-9.08,-104.85
0.45,-2.99,1,0.75,-7.91,-88.24
1.25,-2.63,-1,-1.53,-5.06,-136.36
0.65,-1.72,0,12.29,-8.04,-61.31
0.93,-3.1,0,-3.71,-5.95,-124.33
2.5,-1.41,1,-5.84,16.47,119.75
1.54,-0.42,1,-0.39,19.27,121.47
0.51,-1.63,-1,5.5,-8.85,-121.47
2.7,-0.31,0,-16.56,12.55,136.94
0.95,-1.07,0,17.97,4.02,-6.88
2.11,-0.63,-1,3.25,16.21,27.5
2.04,-0.54,-1,3.47,16.58,28.65
0.87,-2.22,1,12.62,-3.88,-20.05
1.29,-2.43,0,7.79,-6.0,-65.32
2.17,-1.78,0,9.0,11.1,22.35
1.29,-2.94,0,0.83,-7.23,-94.54
3.06,-1.57,-1,-0.24,10.84,28.07
1.94,-1.63,0,10.81,10.8,17.76
0.26,-1.97,0,4.82,-12.07,-97.98
0.69,-2.56,-1,-3.41,-4.11,-164.44
3.12,-1.64,0,-5.73,14.09,84.8
0.7,-2.49,0,2.31,-9.16,-102.56
1.85,-0.95,1,0.16,18.84,108.86
0.93,-0.09,-1,15.77,9.71,-9.17
0.49,-2.29,1,9.46,-8.54,-45.84
2.02,-2.3,0,10.42,2.44,-16.04
1.97,-1.98,1,8.12,12.23,56.72
0.83,-1.85,-1,5.35,-7.1,-115.74
0.51,-1.61,1,16.25,-3.52,-5.73
1.92,-1.33,1,3.29,17.47,91.1
2.49,-2.62,1,5.89,8.69,49.85
0.98,-0.13,1,6.59,17.8,106.0
3.09,-0.96,-2,-3.76,7.2,7.45
1.63,-1.33,0,12.96,11.13,17.19
1.38,-0.31,-1,11.67,13.5,4.01
0.49,-2.13,0,5.21,-10.67,-93.97
1.91,-1.02,1,-0.12,18.69,108.29
3.07,-2.69,1,0.85,9.97,79.07
0.03,-1.38,-1,3.61,-11.6,-134.65
2.93,-1.78,-1,2.94,8.91,8.59
2.96,-1.63,0,-3.55,14.86,76.2
1.59,-0.47,-1,9.87,14.14,6.88
1.59,-1.73,-1,9.72,-0.34,-65.32
0.38,-2.38,1,7.37,-9.66,-57.3
1.38,-0.86,-1,13.61,7.12,-27.5
3.0,-2.36,-1,5.24,2.7,-20.63
2.7,-2.58,1,3.67,10.13,64.17
2.31,-2.72,-1,2.82,-4.53,-80.79
1.75,-2.35,1,10.98,5.66,22.92
1.95,-1.64,2,-0.64,13.81,132.35
2.9,-2.26,1,-1.67,12.84,93.97
1.98,-1.32,0,8.27,15.01,37.82
0.59,-1.22,-1,11.06,-7.22,-93.39
2.89,-0.97,-1,-4.93,13.89,52.71
0.74,-0.31,1,12.51,14.57,81.93
2.71,-3.0,1,5.66,5.49,40.68
1.27,-2.63,1,10.09,-2.63,-20.63
2.7,-2.08,-1,5.87,4.46,-21.77
2.53,-1.8,1,-1.62,15.6,99.12
2.79,-1.37,1,-10.78,13.96,138.66
1.83,-0.55,1,-4.35,18.78,130.63
1.96,-1.82,1,7.2,13.81,65.32
1.41,-1.67,-1,10.03,-1.55,-72.19
1.77,-2.81,-1,-1.01,-5.42,-116.88
2.28,-0.18,1,-15.09,11.65,177.62
1.66,-2.08,-1,6.82,-2.8,-81.36
1.55,-2.53,0,7.94,-4.63,-56.15
1.48,-0.67,1,3.8,18.84,103.71
0.71,-0.66,0,19.29,5.26,2.86
2.52,-2.55,1,5.26,9.64,55.58
0.56,-1.17,0,17.41,-4.3,-34.95
0.26,-0.14,0,20.66,3.48,6.88
1.87,-0.71,1,-3.16,18.93,123.76
2.8,-1.21,1,-12.69,13.01,148.4
2.0,-0.93,-1,7.43,13.0,4.01
2.59,-2.75,-1,3.74,-3.86,-66.46
1.41,-0.68,1,5.23,18.49,99.12
1.7,-2.19,-1,5.84,-3.33,-85.37
1.62,-2.76,-2,-4.42,0.62,-179.91
2.64,-2.27,-1,6.04,1.77,-36.1
0.32,-0.31,1,17.37,8.2,57.87
1.17,-1.47,0,16.11,2.31,-17.19
1.91,-0.42,1,-7.33,17.82,142.67
0.64,-3.06,-1,-6.37,1.48,-195.95
1.87,-0.16,0,-4.01,20.55,97.98
2.12,-1.56,1,2.35,16.69,89.38
3.1,-1.85,1,-9.18,12.38,128.92
3.08,-1.08,-2,-2.9,6.8,-0.0
3.03,-2.18,0,2.28,11.3,48.7
0.73,-0.11,0,16.61,12.8,35.52
3.12,-1.79,0,-3.66,13.75,76.2
0.8,-0.69,-1,16.24,0.35,-50.99
2.58,-2.61,-1,4.68,-2.48,-59.01
0.46,-0.0,0,18.82,9.32,26.36
2.04,-1.11,0,5.2,17.47,53.29
0.3,-1.85,2,13.14,-1.89,25.78
2.05,-2.83,0,6.73,-3.63,-44.69
1.29,-3.06,0,-0.83,-7.0,-101.41
2.59,-2.74,0,7.88,1.58,-8.59
0.07,-2.69,-2,0.27,3.97,-264.71
0.85,-1.44,-1,10.3,-5.63,-91.1
2.55,-0.22,-1,-8.96,15.78,76.2
2.52,-1.76,-1,6.18,7.23,-13.75
2.45,-0.12,1,-17.09,8.23,190.79
0.34,-0.34,-1,17.38,-3.56,-57.3
2.45,-2.54,-1,4.82,-2.37,-62.45
0.22,-2.43,1,5.13,-10.64,-69.33
0.13,-0.09,-1,17.95,-4.55,-55.0
2.38,-0.43,-1,-3.59,17.03,54.43
2.47,-1.8,0,5.49,13.05,38.39
1.99,-2.56,0,8.94,-1.16,-32.66
2.75,-0.77,1,-16.16,10.22,170.74
0.21,-2.79,0,-5.0,-6.0,-147.82
0.04,-1.02,0,14.79,-11.35,-56.15
1.79,-2.14,-1,6.59,-2.4,-77.35
0.49,-1.22,1,18.14,0.49,15.47
1.04,-2.72,1,8.22,-5.32,-38.96
2.93,-2.59,1,1.36,10.62,76.78
1.44,-2.2,0,11.06,-2.7,-43.54
1.82,-2.09,-1,7.09,-1.77,-72.77
2.69,-0.29,1,-18.23,5.99,194.81
2.19,-0.08,1,-14.65,11.93,178.19
0.2,-2.9,0,-5.8,-4.59,-154.7
0.68,-0.15,2,5.75,11.96,144.96
0.64,-1.81,1,15.24,-3.45,-9.74
1.81,-2.25,-1,5.59,-3.12,-82.51
0.84,-0.61,-1,16.51,1.94,-44.12
2.58,-2.41,1,3.71,11.36,67.04
1.65,-1.55,0,13.38,8.38,5.73
1.87,-0.7,-1,7.57,14.32,9.74
1.48,-3.0,0,1.35,-7.01,-87.09
0.94,-1.54,1,16.35,4.43,22.92
0.12,-1.62,1,13.59,-9.5,-28.65
2.68,-2.43,1,2.72,11.49,71.62
1.11,-1.9,0,12.97,-3.68,-45.26
1.41,-1.88,1,13.4,7.28,30.37
2.43,-1.27,-1,4.4,12.1,9.17
1.74,-2.44,1,10.86,4.46,17.19
1.27,-1.13,1,11.93,14.02,65.32
2.97,-2.67,0,6.48,5.33,17.19
0.49,-2.56,1,6.19,-8.99,-61.31
2.27,-2.97,0,6.2,-3.66,-40.11
0.49,-0.69,-1,15.57,-4.62,-68.75
0.43,-1.98,0,6.65,-11.08,-88.81
2.98,-0.98,0,-12.73,13.86,114.59
2.82,-1.76,0,0.2,14.43,60.73
2.84,-2.17,-1,5.42,4.16,-18.91
0.28,-0.24,0,20.72,2.49,2.29
2.45,-2.54,-1,4.82,-2.37,-62.45
1.18,-1.83,1,14.81,4.64,20.05
0.29,-2.66,1,3.09,-9.74,-78.5
1.22,-1.59,-1,10.33,-2.82,-78.5
2.95,-2.04,1,-4.9,13.46,109.43
2.7,-0.51,-1,-7.79,15.19,68.18
1.98,-1.29,-1,9.28,8.74,-17.76
1.5,-2.69,0,5.7,-6.01,-68.18
2.23,-2.89,-1,0.62,-5.73,-95.11
0.66,-1.4,0,15.87,-5.15,-42.4
0.0,-1.74,1,10.99,-11.62,-42.4
0.44,-2.94,-2,-0.75,5.63,-257.83
0.17,-0.97,-1,10.19,-10.65,-103.13
1.55,-0.84,1,4.48,18.49,97.98
0.3,-0.96,-1,11.59,-9.2,-95.11
2.68,-0.26,-1,-10.47,14.66,81.36
1.43,-1.61,0,14.76,4.42,-10.31
2.8,-0.01,-1,-14.69,11.59,102.56
0.77,-1.69,0,13.51,-6.27,-52.71
1.2,-0.42,0,12.49,16.37,44.69
0.47,-1.99,1,12.67,-7.3,-29.79
0.15,-0.18,1,17.88,6.61,55.58
2.57,-1.62,-1,5.18,9.13,-2.86
2.69,-0.85,0,-10.02,16.55,105.42
2.98,-2.87,1,3.16,8.16,63.6
0.95,-0.5,0,16.68,11.78,25.78
3.01,-0.66,1,-18.71,4.45,191.94
2.7,-2.52,1,3.22,10.72,67.61
0.09,-2.5,-1,-4.99,-2.19,-195.38
2.04,-0.21,1,-11.62,15.16,162.15
2.22,-1.94,2,-2.06,12.82,130.63
1.7,-2.79,0,5.57,-5.47,-62.45
0.91,-2.79,-1,-4.6,-2.95,-165.01
1.34,-0.98,1,9.62,16.13,77.92
2.1,-1.51,1,2.15,16.94,91.1
0.77,-1.49,0,15.55,-4.36,-41.25
2.05,-1.81,-1,8.65,3.05,-43.54
0.26,-0.36,-1,16.9,-5.14,-63.03
1.4,-1.14,1,10.1,15.36,72.19
2.06,-2.15,1,7.98,11.08,52.14
1.36,-1.88,1,13.75,6.6,27.5
1.26,-0.69,0,13.93,14.22,32.66
0.77,-1.66,1,16.39,0.2,6.3
0.81,-1.01,-1,14.22,-2.84,-68.75
1.49,-1.93,0,13.23,1.01,-25.21
0.08,-2.23,0,-0.69,-11.16,-123.19
2.75,-1.29,1,-11.13,14.04,140.95
2.25,-2.41,-2,-1.38,-1.49,-123.76
2.09,-1.03,0,3.37,18.29,60.73
2.77,-3.12,1,5.63,4.38,37.24
1.88,-1.58,-1,9.91,4.23,-40.11
1.0,-1.9,-1,5.87,-6.22,-108.86
2.38,-1.34,-2,2.49,5.13,-55.0
0.08,-1.3,-2,2.4,-5.47,-184.49
0.06,-0.42,-1,15.0,-8.89,-77.92
2.76,-0.44,-1,-9.53,14.51,75.63
1.2,-0.05,1,1.56,18.77,123.19
0.79,-1.02,0,18.56,1.78,-13.18
1.16,-1.7,0,14.8,-0.78,-30.94
0.32,-0.33,1,17.49,7.98,56.72
2.96,-1.69,-1,1.94,9.82,15.47
2.94,-1.02,-1,-5.01,13.55,52.71
2.63,-1.21,-1,1.34,13.2,24.06
0.19,-0.31,0,20.77,-0.35,-6.88
2.22,-0.4,0,-7.68,19.14,104.28
2.31,-2.72,-1,2.82,-4.53,-80.79
2.53,-1.33,0,-0.66,17.07,68.75
0.27,-2.32,1,7.0,-10.42,-60.16
1.55,-1.86,0,13.48,2.73,-17.76
2.95,-1.91,-1,3.67,7.65,2.29
2.33,-0.39,0,-9.87,18.13,111.15
1.55,-0.54,0,7.59,18.85,57.87
2.66,-2.53,1,3.72,10.48,64.74
0.23,-1.29,0,13.66,-10.62,-60.73
2.13,-2.07,-1,7.4,0.7,-53.86
1.29,-3.02,1,6.05,-4.85,-41.83
2.73,-3.09,1,5.75,4.51,36.67
0.23,-2.68,1,2.27,-9.82,-83.08
1.91,-3.01,1,7.81,-0.34,-5.73
1.99,-0.39,0,-3.26,20.39,91.67
2.7,-1.36,-1,1.87,12.14,19.48
1.0,-0.77,1,12.94,14.08,70.47
0.22,-1.88,1,11.74,-9.74,-37.82
2.17,-3.02,0,5.29,-4.74,-48.7
1.68,-1.89,1,11.01,10.47,45.26
1.28,-1.71,1,14.26,7.57,32.66
0.33,-0.13,1,16.02,10.18,68.75
0.63,-0.85,1,17.46,7.52,44.69
2.29,-0.35,1,-14.0,13.2,168.45
1.68,-0.15,1,-6.21,17.97,144.96
0.67,-1.62,1,16.55,-1.0,2.86
0.94,-0.22,0,14.65,14.88,41.25
2.2,-1.9,-1,7.92,3.22,-40.11
2.84,-2.76,1,3.59,8.81,61.88
1.14,-2.8,1,7.83,-4.9,-37.82
0.44,-0.22,0,20.0,6.04,12.61
1.34,-0.6,-2,8.91,4.87,-72.19
1.33,-2.47,-1,0.82,-5.46,-122.61
0.12,-0.15,-1,17.55,-5.37,-59.01
2.6,-1.73,0,3.03,14.31,49.85
2.6,-1.35,-1,2.99,11.98,14.32
2.14,-1.39,0,6.47,15.44,42.97
2.55,-1.02,1,-11.26,14.92,144.96
1.41,-1.94,0,13.2,-0.17,-30.37
0.92,-1.85,1,15.41,0.45,4.01
2.6,-1.32,-1,2.74,12.25,16.04
0.13,-0.49,0,20.04,-4.02,-20.63
0.87,-0.58,1,13.16,14.08,73.91
2.48,-1.68,1,-2.24,16.14,103.13
1.97,-1.39,-1,9.53,7.43,-24.06
0.72,-2.57,1,7.95,-7.37,-48.7
1.62,-0.71,1,1.62,19.12,109.43
0.25,-1.21,-1,8.14,-10.48,-112.3
3.14,-1.22,1,-16.22,8.13,167.3
1.87,-0.28,-1,3.62,17.58,33.8
0.85,-0.49,0,17.72,10.19,20.63
1.55,-1.39,-1,11.73,2.9,-48.13
0.28,-0.57,1,18.74,4.5,40.68
2.81,-0.29,-1,-11.95,13.35,87.09
1.04,-0.48,-1,15.81,6.77,-25.21
1.82,-0.62,-1,7.67,14.7,11.46
3.0,-1.87,1,-7.66,13.25,122.04
1.79,-1.36,-1,10.73,5.97,-32.66
1.28,-1.89,0,13.48,-1.31,-34.95
0.28,-2.27,1,7.72,-10.31,-56.72
0.38,-0.37,0,20.5,2.74,0.57
0.79,-2.29,0,5.92,-8.99,-85.94
1.9,-1.36,1,3.96,17.22,88.24
0.74,-0.22,-1,17.45,4.97,-27.5
2.45,-1.01,0,-3.57,18.34,82.51
2.42,-2.12,-1,6.79,2.18,-40.11
0.89,-1.38,0,16.76,-1.15,-28.07
2.62,-0.15,-1,-10.84,14.81,84.22
1.02,-0.44,0,15.37,13.64,33.23
0.49,-3.13,0,-6.1,-3.44,-151.26
1.97,-1.42,-1,9.55,7.06,-25.78
2.97,-1.18,0,-9.94,14.86,102.56
2.17,-2.89,-1,0.27,-5.76,-98.55
2.36,-2.11,1,4.02,13.31,71.62
2.83,-0.15,-1,-13.69,12.22,96.26
0.44,-0.53,-2,9.83,-3.73,-119.75
1.11,-2.1,0,10.79,-5.43,-56.72
